das,solute_uptake,all_solute_uptake
1,0.71900E-05,7.19e-06
2,0.71144E-05,1.43044e-05
3,0.72329E-05,2.15373e-05
4,0.74753E-05,2.90126e-05
5,0.77634E-05,3.6776e-05
6,0.80441E-05,4.48201e-05
7,0.84170E-05,5.32371e-05
8,0.87497E-05,6.19868e-05
9,0.95036E-05,7.14904e-05
10,0.10264E-04,8.175439999999999e-05
11,0.11118E-04,9.287239999999999e-05
12,0.11356E-04,0.00010422839999999999
13,0.11581E-04,0.00011580939999999999
14,0.12483E-04,0.00012829239999999998
15,0.12895E-04,0.00014118739999999998
16,0.13339E-04,0.00015452639999999996
17,0.14107E-04,0.00016863339999999996
18,0.15203E-04,0.00018383639999999997
19,0.16013E-04,0.00019984939999999996
20,0.16967E-04,0.00021681639999999997
21,0.17917E-04,0.00023473339999999996
22,0.20212E-04,0.00025494539999999994
23,0.22874E-04,0.0002778193999999999
24,0.25940E-04,0.00030375939999999994
25,0.27563E-04,0.0003313223999999999
26,0.28811E-04,0.0003601333999999999
27,0.30211E-04,0.0003903443999999999
28,0.33715E-04,0.0004240593999999999
29,0.37788E-04,0.00046184739999999985
30,0.39596E-04,0.0005014433999999999
31,0.41087E-04,0.0005425303999999999
32,0.43012E-04,0.0005855423999999999
33,0.45947E-04,0.0006314893999999999
34,0.52025E-04,0.0006835143999999999
35,0.53997E-04,0.0007375113999999999
36,0.56129E-04,0.0007936403999999999
37,0.59627E-04,0.0008532673999999999
38,0.64825E-04,0.0009180923999999999
39,0.70343E-04,0.0009884353999999999
40,0.76966E-04,0.0010654013999999998
41,0.80783E-04,0.0011461843999999999
42,0.82777E-04,0.0012289614
43,0.88108E-04,0.0013170693999999998
44,0.90437E-04,0.0014075064
45,0.92362E-04,0.0014998683999999998
46,0.94844E-04,0.0015947123999999998
47,0.10140E-03,0.0016961123999999998
48,0.11097E-03,0.0018070823999999997
49,0.12078E-03,0.0019278623999999997
50,0.12757E-03,0.0020554323999999995
51,0.13563E-03,0.0021910623999999994
52,0.14285E-03,0.0023339123999999993
53,0.15526E-03,0.0024891723999999993
54,0.16287E-03,0.002652042399999999
55,0.16910E-03,0.0028211423999999993
56,0.17992E-03,0.0030010623999999994
57,0.19678E-03,0.0031978423999999995
58,0.20326E-03,0.0034011023999999993
59,0.20758E-03,0.0036086823999999995
60,0.21212E-03,0.0038208023999999996
61,0.21507E-03,0.0040358723999999995
62,0.21903E-03,0.0042549024
63,0.22218E-03,0.0044770823999999996
64,0.22424E-03,0.004701322399999999
65,0.22787E-03,0.004929192399999999
66,0.22958E-03,0.005158772399999999
67,0.23029E-03,0.005389062399999999
68,0.23120E-03,0.005620262399999999
69,0.22885E-03,0.005849112399999999
70,0.22636E-03,0.006075472399999999
71,0.22287E-03,0.0062983423999999994
72,0.22007E-03,0.0065184124
73,0.21923E-03,0.0067376423999999996
74,0.21624E-03,0.0069538824
75,0.21666E-03,0.0071705423999999995
76,0.20632E-03,0.0073768624
77,0.19775E-03,0.0075746124
78,0.18821E-03,0.0077628224
79,0.17798E-03,0.0079408024
80,0.17502E-03,0.0081158224
81,0.16209E-03,0.0082779124
82,0.15570E-03,0.0084336124
83,0.15309E-03,0.0085867024
84,0.14678E-03,0.0087334824
85,0.13861E-03,0.0088720924
86,0.13865E-03,0.0090107424
87,0.13136E-03,0.009142102400000001
88,0.13488E-03,0.009276982400000001
89,0.12944E-03,0.009406422400000001
90,0.12089E-03,0.009527312400000001
91,0.10743E-03,0.009634742400000002
92,0.97392E-04,0.009732134400000002
93,0.83754E-04,0.009815888400000002
94,0.78609E-04,0.009894497400000002
95,0.65364E-04,0.009959861400000002
96,0.57437E-04,0.010017298400000003
97,0.48923E-04,0.010066221400000002
98,0.40022E-04,0.010106243400000003
99,0.30790E-04,0.010137033400000002
100,0.23584E-04,0.010160617400000002
101,0.19117E-04,0.010179734400000003
102,0.11086E-04,0.010190820400000003
103,0.83872E-05,0.010199207600000003
104,0.00000E+00,0.010199207600000003
105,0.00000E+00,0.010199207600000003
106,0.00000E+00,0.010199207600000003
107,0.00000E+00,0.010199207600000003
108,0.00000E+00,0.010199207600000003
