编号,重复,2020/6/12,2020/6/21,2020/6/26,2020/7/1,2020/7/6,2020/7/13,2020/7/20,2020/8/2,2020/8/14,2020/8/25,2020/9/17,2020/10/23,type
1,1,1.41 ,1.82,2.48,3.95,7.83,,13.9,17.82,17.58,,16.77,0,叶干重
1,2,2.04,2.3,,4.22,6.45,,7.47,16.51,18.99,15.31,,4.63,叶干重
1,3,1.57,2.2,2.86,,7.77,7,8.44,11.75,19.28,,11.83,2,叶干重
10,1,1.16,1.35,2.24,3.04,6.67,11.69,11.63,11.31,19.82,,15.59,6.73,叶干重
10,2,0.83,1.56,2.69,2.96,4.48,9.26,9.29,11.14,19.85,15.34,13.89,4.59,叶干重
10,3,1.38,2.08,1.68,3.15,7.5,10.53,10.41,12.84,19.04,13.11,9.44,5.9,叶干重
13_1,1,0.75,1.1,2.31,2.42,5.07,8.67,11.55,13.66,18.86,,11,6.12,叶干重
13_1,2,0.51,1.48,1.85,3.01,3.96,8.54,10.49,14.7,25.43,16.57,8,9.81,叶干重
13_1,3,0.95,1.89,2.16,3,3.36,11.17,14.74,20.96,14.87,14.61,11.35,6.29,叶干重
13_2,1,1.35,1.02,2.37,3.33,5.1,6.2,15.09,16.73,21.62,19.25,14.91,10.13,叶干重
13_2,2,1.16,1.93,1.78,3.99,4.13,7.58,12.92,14.44,14.52,15.18,15.37,10.6,叶干重
13_2,3,1.25,1.25,2.32,4.15,7.05,11.33,11.48,18.6,19.25,13.24,11.22,9.47,叶干重
13_3,1,1.34,1.58,2.79,4.11,5.13,8.19,10.49,13.06,,12.52,15.36,2.8,叶干重
13_3,2,0.85,1.24,3.05,3.78,3.82,,15.6,21.75,14.77,9.9,15.4,5.7,叶干重
13_3,3,1.26,1.39,3.01,2.41,3.6,,11.33,14.56,16.02,11.19,10.08,7.1,叶干重
13_4,1,1.16,0.86,3.02,4.72,4.79,10.62,6.39,14.12,14.23,10.33,9.52,6.73,叶干重
13_4,2,0.85,1.78,2.54,3.52,4.78,8.1,6.61,11.54,,,15.6,7.58,叶干重
