编号,重复,2020/6/12,2020/6/21,2020/6/26,2020/7/1,2020/7/6,2020/7/13,2020/7/20,2020/8/2,2020/8/14,2020/8/25,2020/9/17,2020/10/23,type
7,1,1.45,1.14,2.14,3.61,6.56,7.13,10.83,16.43,13.24,14.8,7.85,7.15,叶干重
7,2,0.78,1.16,2.21,3.48,3.74,11.89,12.71,12.89,16.11,11.41,12.28,10.42,叶干重
7,3,0.91,1.91,2.01,3.36,4.78,9.25,12.9,15.08,13.76,8.5,9.97,5.62,叶干重
8,1,0.88,2.28,2.09,3.72,5.2,9.37,8.89,16.63,14.47,18.39,6.57,8.72,叶干重
8,2,1.45,2.04,4.32,4.99,,,7.58,17.4,20.61,,18.92,10.02,叶干重
8,3,1.36,2.25,3.11,5.2,,,9.7,15.56,18.58,14.55,,9.15,叶干重
9,1,0.96,1.67,2.68,,4.33,7.05,,,22.08,18.03,12.65,,叶干重
9,2,0.64,1.63,2.63,4.41,,7.45,12.59,20.39,23.2,,14.85,,叶干重
9,3,1,1.96,2.89,3.77,4.32,15,11.72,13.86,23.73,,10.91,11.32,叶干重
11,1,1.11,1.99,3.15,3.57,6.99,,7.4,16.35,19.26,22.41,12.43,7.91,叶干重
11,2,0.56,1.3,2.13,5.29,4.29,15.5,10.33,14.65,,22.8,10.85,5.78,叶干重
11,3,0.85,1.28,3.42,3.46,6.75,,,12.38,18.91,19.57,15.36,,叶干重
12,1,0.74,0.73,1.54,3.91,4.89,14.01,,14.64,22.87,13.31,10.47,9.13,叶干重
12,2,0.53,0.9,1.76,3.31,4.48,10.45,8.91,17.45,24.79,17.2,9.39,,叶干重
12,3,0.6,0.78,1.89,3.65,4.67,11.11,9.61,16.16,,12.87,8.25,12.17,叶干重
7,1,0.3,1.02,2.33,3.22,6.57,8.23,13.36,19.52,19.23,31.42,,44.49,茎干重
7,2,0.42,1.12,2.14,3.59,4.15,12.64,13.38,15.11,23.49,22.99,29.46,41.47,茎干重
7,3,0.19,1.56,2.36,3.15,4.94,10.55,14.44,19.82,15.08,16.45,,32.96,茎干重
8,1,0.09,2.41,2.22,3.09,5.4,9.98,9.65,15.3,13.1,,27.58,38.21,茎干重
8,2,0.25,1.98,,4.32,3.83,,8.31,16.61,22.75,,43.64,36.04,茎干重
8,3,0.35,1.94,3.32,4.49,3.68,,11.83,15.53,20.57,26.63,21.52,34.92,茎干重
9,1,0.35,1.44,2.82,5.58,4.12,11.65,12.55,19.54,26.51,30.37,29.87,,茎干重
9,2,0.1,1.47,2.77,4.27,3.19,7.9,13.42,,30.45,,31.43,,茎干重
9,3,0.16,1.62,2.39,3.83,5.23,18.27,15.57,18.66,30.31,,,35.59,茎干重
11,1,0.22,2.11,3.36,3.43,7.13,15.29,8.94,16.54,27.37,34.72,22.45,31.64,茎干重
11,2,0.12,1.39,2.17,4.88,4.42,,11.61,15.41,,35.83,21.66,36.41,茎干重
11,3,0.14,1.33,3.6,3.26,6.45,14.16,8.55,13.74,23.19,26.93,25.21,,茎干重
12,1,0.19,0.69,1.8,3.9,6.35,,6.15,16.43,26.33,24.47,25.82,36.26,茎干重
12,2,0.16,0.79,2.19,3.32,5.2,10.26,8.82,17.79,,,27.71,,茎干重
12,3,0.09,0.82,2.21,3.45,5.31,9.44,7.71,15.56,,20.22,,40.99,茎干重
7,1,0,0,0,0,0,0,0,0,3.64,7.94,18.22,31.53,穗干重
7,2,0,0,0,0,0,0,0,0,3.46,6.84,29.45,,穗干重
7,3,0,0,0,0,0,0,0,0,3.5,6.11,22.03,35.25,穗干重
8,1,0,0,0,0,0,0,0,0,0.29,8.56,23.67,32.81,穗干重
8,2,0,0,0,0,0,0,0,0,0.37,,,33.52,穗干重
8,3,0,0,0,0,0,0,0,0.2,1.23,6.23,20.35,,穗干重
9,1,0,0,0,0,0,0,0,0,3.74,7.61,31.67,,穗干重
9,2,0,0,0,0,0,0,0,0,4.99,3.28,38.15,,穗干重
9,3,0,0,0,0,0,0,0,0,1.09,3.37,31.03,38.74,穗干重
11,1,0,0,0,0,0,0,0,0,3.32,10.27,35.81,39.93,穗干重
11,2,0,0,0,0,0,0,0,0,4.04,9.91,33.42,36.38,穗干重
11,3,0,0,0,0,0,0,0,0,2.06,7.27,37.9,53.89,穗干重
12,1,0,0,0,0,0,0,0,0,2.35,6.02,38.25,44.98,穗干重
12,2,0,0,0,0,0,0,0,0,7.71,8.44,43.75,72.79,穗干重
12,3,0,0,0,0,0,0,0,0,6.02,4.8,34.18,11.38,穗干重
