das,iggrixd,iggrind,iggrijd,realprec,et0,hCritA,GWL,xdcTop,ndcTop,jdcTop,xdkc,ndkc,jdkc,xdpet,ndpet,jdpet,渗漏量,籼稻生育期,糯稻生育期,粳稻生育期,籼稻田间水层,糯稻田间水层,粳稻田间水层,xdprec,ndprec,jdprec
1,2,2,2,0.74,2.160800787,100000,61.6177092,0,0,0,1.05,1.05,1.05,0.226884083,0.226884083,0.226884083,0.4,返青期,返青期,返青期,2.113115917,2.113115917,2.113115917,2.74,2.74,2.74
2,,,,0.12,3.429321714,100000,54.7566558,0,0,0,1.05,1.05,1.05,0.36007878,0.36007878,0.36007878,0.4,返青期,返青期,返青期,1.473037137,1.473037137,1.473037137,0.12,0.12,0.12
3,2,2,2,0,4.963384113,100000,49.1185171,0,0,0,1.05,1.05,1.05,0.521155332,0.521155332,0.521155332,0.4,返青期,返青期,返青期,2.551881806,2.551881806,2.551881806,2,2,2
4,,,,0,6.913280166,100000,44.8307756,0,0,0,1.05,1.05,1.05,0.725894417,0.725894417,0.725894417,0.4,返青期,返青期,返青期,1.425987388,1.425987388,1.425987388,0,0,0
5,2,2,2,0,5.470998224,100000,41.8288068,0,0,0,1.05,1.05,1.05,0.574454813,0.574454813,0.574454813,0.4,返青期,返青期,返青期,2.451532575,2.451532575,2.451532575,2,2,2
6,,,,0,6.259617215,100000,39.9999593,0,0,0,1.05,1.05,1.05,0.657259808,0.657259808,0.657259808,0.4,返青期,返青期,返青期,1.394272767,1.394272767,1.394272767,0,0,0
7,2,2,2,0,4.714774553,100000,39.2315819,0,0,0,1.05,1.05,1.05,0.495051328,0.495051328,0.495051328,0.4,返青期,返青期,返青期,2.499221439,2.499221439,2.499221439,2,2,2
8,2,2,2,0,6.18847156,100000,39.4110234,0,0,0,1.05,1.05,1.05,0.649789514,0.649789514,0.649789514,0.4,分蘖前期,分蘖前期,有效分蘖期,3.449431925,3.449431925,3.449431925,2,2,2
9,,,,0,6.06578136,100000,40.4256324,0,0,0,1.05,1.05,1.05,0.636907043,0.636907043,0.636907043,0.4,分蘖前期,分蘖前期,有效分蘖期,2.412524882,2.412524882,2.412524882,0,0,0
10,2,2,2,0,6.588530482,100000,42.1627577,0,0,0,1.05,1.05,1.05,0.691795701,0.691795701,0.691795701,0.4,分蘖前期,分蘖前期,有效分蘖期,3.320729182,3.320729182,3.320729182,2,2,2
11,,,,0.04,2.354565442,100000,44.509748,0,0,0,1.05,1.05,1.05,0.247229371,0.247229371,0.247229371,0.4,分蘖前期,分蘖前期,有效分蘖期,2.71349981,2.71349981,2.71349981,0.04,0.04,0.04
12,,,,0,2.515963556,100000,47.3539521,0,0,0,1.05,1.05,1.05,0.264176173,0.264176173,0.264176173,0.4,分蘖前期,分蘖前期,有效分蘖期,2.049323637,2.049323637,2.049323637,0,0,0
13,,,,0,4.01933106,100000,50.5827186,0,0,0,1.05,1.05,1.05,0.422029761,0.422029761,0.422029761,0.4,分蘖前期,分蘖前期,有效分蘖期,1.227293876,1.227293876,1.227293876,0,0,0
14,-2,-2,-2,4.09,1.954862314,100000,54.0833964,0,0,0,1.05,1.05,1.05,0.205260543,0.205260543,0.205260543,0.4,分蘖前期,分蘖前期,有效分蘖期,2.712033333,2.712033333,2.712033333,2.09,2.09,2.09
15,,,,4.65,2.065845979,100000,57.743334,0,0,0,1.05,1.05,1.05,0.216913828,0.216913828,0.216913828,0.4,分蘖前期,分蘖前期,有效分蘖期,6.745119505,6.745119505,6.745119505,4.65,4.65,4.65
16,,,,0.55,2.704840545,100000,61.4498804,0,0,0,1.05,1.05,1.05,0.284008257,0.284008257,0.284008257,0.4,分蘖前期,分蘖前期,有效分蘖期,6.611111248,6.611111248,6.611111248,0.55,0.55,0.55
17,,,,1.16,3.352143483,100000,65.0903841,0,0,0,1.05,1.05,1.05,0.351975066,0.351975066,0.351975066,0.4,分蘖前期,分蘖前期,有效分蘖期,7.019136182,7.019136182,7.019136182,1.16,1.16,1.16
18,,,,0.85,2.23721447,100000,68.5521939,0,0,0,1.05,1.05,1.05,0.234907519,0.234907519,0.234907519,0.4,分蘖前期,分蘖前期,有效分蘖期,7.234228663,7.234228663,7.234228663,0.85,0.85,0.85
19,,,,1.44,1.626067788,100000,71.7399489,0,0,0,1.05,1.05,1.05,0.170737118,0.170737118,0.170737118,0.4,分蘖前期,分蘖前期,有效分蘖期,8.103491545,8.103491545,8.103491545,1.44,1.44,1.44
20,-2,-2,-2,3.44,1.909944334,100000,74.6274498,0,0,0,1.05,1.05,1.05,0.200544155,0.200544155,0.200544155,0.4,分蘖前期,分蘖前期,有效分蘖期,8.94294739,8.94294739,8.94294739,1.44,1.44,1.44
21,,,,0,3.476120997,100000,77.2057874,0,0,0,1.05,1.05,1.05,0.364992705,0.364992705,0.364992705,0.4,分蘖前期,分蘖前期,有效分蘖期,8.177954685,8.177954685,8.177954685,0,0,0
22,,,,0,4.426402536,100000,79.4660526,0,0,0,1.05,1.05,1.05,0.464772266,0.464772266,0.464772266,0.4,分蘖前期,分蘖前期,有效分蘖期,7.313182419,7.313182419,7.313182419,0,0,0
23,,,,0,4.540635487,100000,81.3993366,0,0,0,1.05,1.05,1.05,0.476766726,0.476766726,0.476766726,0.4,分蘖后期,分蘖后期,无效分蘖期,6.436415693,6.436415693,6.436415693,0,0,0
24,,,,0,2.456701886,100000,82.9967302,0,0,0,1.05,1.05,1.05,0.257953698,0.257953698,0.257953698,0.4,分蘖后期,分蘖后期,无效分蘖期,5.778461995,5.778461995,5.778461995,0,0,0
25,-2,-2,-2,5.93,1.908404714,100000,84.2493243,0,0,0,1.05,1.05,1.05,0.200382495,0.200382495,0.200382495,0.4,分蘖后期,分蘖后期,无效分蘖期,9.1080795,9.1080795,9.1080795,3.93,3.93,3.93
26,,,,0.02,2.333976645,100000,85.14821,0,0,0,1.05,1.05,1.05,0.245067548,0.245067548,0.245067548,0.4,分蘖后期,分蘖后期,无效分蘖期,8.483011952,8.483011952,8.483011952,0.02,0.02,0.02
27,,,,0.02,4.037962307,100000,85.6844781,0,0,0,1.05,1.05,1.05,0.423986042,0.423986042,0.423986042,0.4,分蘖后期,分蘖后期,无效分蘖期,7.67902591,7.67902591,7.67902591,0.02,0.02,0.02
28,,,,0,4.877136907,100000,85.8492197,0,0,0,1.05,1.05,1.05,0.512099375,0.512099375,0.512099375,0.4,分蘖后期,分蘖后期,拔节期,6.766926535,6.766926535,6.766926535,0,0,0
29,,,,0,2.612308657,100000,85.6335257,0,0,0,1.05,1.05,1.053333333,0.274292409,0.274292409,0.275163178,0.4,拔节期,拔节期,拔节期,6.092634126,6.092634126,6.091763356,0,0,0
30,,,,0.42,2.148259694,100000,85.028487,0,0,0,1.055,1.053571429,1.056666667,0.226641398,0.226334504,0.226999441,0.4,拔节期,拔节期,拔节期,5.885992728,5.886299622,5.884763915,0.42,0.42,0.42
31,-5,-5,-5,11.44,2.29710497,100000,84.0251946,0,0,0,1.06,1.057142857,1.06,0.243493127,0.242836811,0.243493127,0.4,拔节期,拔节期,拔节期,11.6824996,11.68346281,11.68127079,6.44,6.44,6.44
32,,,,0.79,2.491977181,100000,82.6147395,0,0,0,1.065,1.060714286,1.063333333,0.26539557,0.26432758,0.26498024,0.4,拔节期,拔节期,拔节期,11.80710403,11.80913523,11.80629055,0.79,0.79,0.79
33,,,,0.02,5.206753019,100000,80.7882126,0,0,0,1.07,1.064285714,1.066666667,0.557122573,0.554147285,0.555386989,0.4,拔节期,拔节期,拔节期,10.86998146,10.87498795,10.87090356,0.02,0.02,0.02
34,,,,0,2.474606879,100000,78.5527387,0,0,0,1.075,1.067857143,1.07,0.266020239,0.264252663,0.264782936,0.4,拔节期,拔节期,拔节期,10.20396122,10.21073528,10.20612062,0,0,0
35,,,,1.87,1.845991041,100000,75.9795779,0,0,0,1.08,1.071428571,1.073333333,0.199367032,0.197784754,0.198136372,0.4,拔节期,拔节期,拔节期,11.47459419,11.48295053,11.47798425,1.87,1.87,1.87
36,,,,0,2.65998745,100000,73.1560242,0,0,0,1.085,1.075,1.076666667,0.288608638,0.285948651,0.286391982,0.4,拔节期,拔节期,拔节期,10.78598555,10.79700188,10.79159227,0,0,0
37,,,,0,3.710082031,100000,70.1693716,0,0,0,1.09,1.078571429,1.08,0.404398941,0.400158848,0.400688859,0.4,拔节期,拔节期,拔节期,9.981586607,9.99684303,9.99090341,0,0,0
38,,,,0,4.085353824,100000,67.106914,0,0,0,1.095,1.082142857,1.083333333,0.447346244,0.442093646,0.442579997,0.4,拔节期,拔节期,拔节期,9.134240363,9.154749384,9.148323412,0,0,0
39,,,,0,5.474558317,100000,64.0559453,0,0,0,1.1,1.085714286,1.086666667,0.602201415,0.594380617,0.594902004,0.4,拔节期,拔节期,拔节期,8.132038948,8.160368766,8.153421408,0,0,0
40,,,,0,3.739964257,100000,61.1037597,0,0,0,1.105,1.089285714,1.09,0.41326605,0.407388964,0.407656104,0.4,拔节期,拔节期,拔节期,7.318772897,7.352979803,7.345765304,0,0,0
41,,,,0,2.606378797,100000,58.3376509,0,0,0,1.11,1.092857143,1.093333333,0.289308046,0.284839969,0.284964082,0.4,拔节期,拔节期,拔节期,6.629464851,6.668139834,6.660801223,0,0,0
42,,,,0,3.537099575,100000,55.8449131,0,0,0,1.115,1.096428571,1.096666667,0.394386603,0.387817703,0.38790192,0.4,拔节期,拔节期,拔节期,5.835078248,5.880322131,5.872899303,0,0,0
43,,,,3.08,2.118599525,100000,53.71284,0,0,0,1.12,1.1,1.1,0.237283147,0.233045948,0.233045948,0.4,拔节期,拔节期,拔节期,8.277795102,8.327276183,8.319853355,3.08,3.08,3.08
44,,,,2.58,1.99914557,100000,52.0287258,0,0,0,1.125,1.103571429,1.103333333,0.224903877,0.220619993,0.220572394,0.4,拔节期,拔节期,拔节期,10.23289123,10.28665619,10.27928096,2.58,2.58,2.58
45,,,,0.43,2.214266203,100000,50.8798644,0,0,0,1.13,1.107142857,1.106666667,0.250212081,0.245150901,0.24504546,0.4,拔节期,拔节期,拔节期,10.01267914,10.07150529,10.0642355,0.43,0.43,0.43
46,,,,0.11,3.185015964,100000,50.3535497,0,0,0,1.135,1.110714286,1.11,0.361499312,0.353764273,0.353536772,0.4,拔节期,拔节期,拔节期,9.361179832,9.427741016,9.420698728,0.11,0.11,0.11
47,,,,0.49,4.556592988,100000,50.5370757,0,0,0,1.14,1.114285714,1.113333333,0.519451601,0.507734647,0.507300686,0.4,拔节期,拔节期,拔节期,8.931728232,9.010006368,9.003398042,0.49,0.49,0.49
48,,,,0,4.980899344,100000,51.5177364,0,0,0,1.145,1.117857143,1.116666667,0.570312975,0.556793391,0.556200427,0.4,拔节期,拔节期,拔节期,7.961415257,8.053212977,8.047197616,0,0,0
49,,,,0.14,3.39117717,100000,53.3470277,0,0,0,1.15,1.121428571,1.12,0.389985374,0.380296297,0.379811843,0.4,拔节期,拔节期,拔节期,7.311429882,7.412916681,7.407385773,0.14,0.14,0.14
50,,,,2.89,2.203041012,100000,55.9332536,0,0,0,1.155,1.125,1.123333333,0.254451237,0.247842114,0.24747494,0.4,拔节期,拔节期,拔节期,9.546978645,9.655074567,9.649910832,2.89,2.89,2.89
51,-2,-2,-2,4.21,1.892373534,100000,59.1489201,0,0,0,1.16,1.128571429,1.126666667,0.21951533,0.21356787,0.213207418,0.4,拔节期,拔节期,拔节期,11.13746332,11.2515067,11.24670341,2.21,2.21,2.21
52,,,,0,3.341743045,100000,62.8665331,0,0,0,1.165,1.132142857,1.13,0.389313065,0.378333052,0.377616964,0.4,拔节期,拔节期,拔节期,10.34815025,10.47317364,10.46908645,0,0,0
